MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,条件区分,条件名,条件1,,,条件2,,値2,条件3,,値3,条件4,,値4,条件5,,値4,予備,,変更区分,有効期間,,更新日
,,,,以上,未満,値,以上,未満,値,以上,未満,値,以上,未満,値,以上,未満,値,区分,区分名称,,開始日,終了日,
01,0010,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0020,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0040,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0050,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0060,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0061,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0069,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0070,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0080,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0081,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0090,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0095,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0100,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0110,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0111,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0140,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0230,1,年齢,000,001,1,001,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0260,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0270,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
03,0180,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
03,0230,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
03,0240,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
03,0270,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0050,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0070,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0080,1,年齢,000,001,0,001,015,1,015,065,2,065,075,3,075,999,4,,,0,20240601,99999999,00000000
04,0090,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0100,1,年齢,000,003,2,003,015,1,015,999,0,,,,,,,,,0,20240601,99999999,00000000
04,0110,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0130,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0140,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0150,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0151,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0160,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0170,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0180,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0200,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0220,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0230,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0240,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0250,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
05,0110,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
06,0160,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
06,0180,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
06,0185,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
06,0380,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
06,0390,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
06,0391,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
07,0060,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
07,010x,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
07,0395,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
07,0470,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
07,0520,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
07,0560,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0020,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0030,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0040,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0050,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0090,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0100,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0105,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
08,0130,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
10,0280,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
10,0285,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
10,0290,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
10,0330,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
10,0370,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
11,013x,1,年齢,000,002,1,002,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
11,0260,1,年齢,000,002,1,002,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
11,0270,1,年齢,000,002,1,002,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
11,0275,1,年齢,000,002,1,002,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
11,0280,1,年齢,000,002,1,002,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
11,0320,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
11,0430,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
12,0170,7,妊娠週数,000,034,1,034,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
12,0260,8,分娩時出血量,000000,002000,0,002000,099999,1,099999,100000,0,,,,,,,,,0,20240601,99999999,00000000
13,0010,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
13,0070,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
13,0110,1,年齢,000,016,1,016,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
13,0150,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
14,0010,3,出生時体重,0000,1000,4,1000,1500,3,1500,2500,2,2500,9999,1,,,,,,0,20240601,99999999,00000000
14,0260,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
14,0270,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
14,0280,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
14,029x,3,出生時体重,0000,2500,1,2500,9999,0,,,,,,,,,,,,0,20240601,99999999,00000000
14,031x,1,年齢,000,001,1,001,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
15,0070,1,年齢,000,002,1,002,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
16,0300,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
16,0400,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
16,0450,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
16,1000,4,Ｂｕｒｎ　Ｉｎｄｅｘ,000,010,1,010,999,2,,,,,,,,,,,,0,20240601,99999999,00000000
17,0020,5,ＧＡＦ,000,001,0,001,040,1,040,999,0,,,,,,,,,0,20240601,99999999,00000000
17,0030,5,ＧＡＦ,000,001,0,001,040,1,040,999,0,,,,,,,,,0,20240601,99999999,00000000
17,0040,5,ＧＡＦ,000,001,0,001,040,1,040,999,0,,,,,,,,,0,20240601,99999999,00000000
17,0050,5,ＧＡＦ,000,001,0,001,040,1,040,999,0,,,,,,,,,0,20240601,99999999,00000000
17,0060,5,ＧＡＦ,000,001,0,001,040,1,040,999,0,,,,,,,,,0,20240601,99999999,00000000
18,0010,1,年齢,000,001,1,001,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
